Helen,7,3.4,3,3,Ron,ron@imail.com,+5102341987
Jo,14,3.6,3,3,Frank,frank@imail.com,+5103780987
Art,26,3.2,3,3,Li,li@imail.com,+5101586764
Lucy,37,3.1,3,3,Brenda,brenda@imail.com,+5104630913
David,49,3.0,3,3,Kim,kim@imail.com,+5103746592
Brad,61,3.9,3,3,Brix,brix@imail.com,+5100893211
Silus,34,3.23,3,2,Friggy,friggy@imail.com,+510237890
Frank,23,3.11,3,3,Ben,ben@imail.com,+51023456123
Aron,12,3.42,2,0,Remo,remo@imail.com,+5102345678
Ben,24,3.12,3,3,Tracy,tracy@imail.com,+5102345678
Sara,11,3.23,3,2,Fraed,fraed@imail.com,+5102346789
Agnes,36,3.45,3,1,Liam,liam@imail.com,+5102348790
Ani,10,3.4,0,3,Rick,rick@imail.com,+1234567
Ani,10,3.4,0,3,Rick,rick@imail.com,+1234567
